S;MuR;SigmaR;MuD;SigmaD;MuA;SigmaA;RhoA;MuB;SigmaB;Intra;SelfReg;scaling;DistB;ParsID;Feasible;Stable;Type
20;1;0;1;0;-0,05;0,01;0;0;0,0000000000000000;None;Quadratic;FALSE;Normal;1,49867378175259e-01;1;TRUE;Constrained HOIs
20;1;0;1;0;-0,05;0,01;0;0;0,0111111111111111;None;Quadratic;FALSE;Normal;8,07312964927405e-01;1;TRUE;Constrained HOIs
20;1;0;1;0;-0,05;0,01;0;0;0,0222222222222222;None;Quadratic;FALSE;Normal;4,22799895983189e-01;1;TRUE;Constrained HOIs
20;1;0;1;0;-0,05;0,01;0;0;0,0333333333333333;None;Quadratic;FALSE;Normal;8,92383528640494e-01;1;TRUE;Constrained HOIs
20;1;0;1;0;-0,05;0,01;0;0;0,0444444444444444;None;Quadratic;FALSE;Normal;5,96497572492808e-01;1;TRUE;Constrained HOIs
20;1;0;1;0;-0,05;0,01;0;0;0,0555555555555556;None;Quadratic;FALSE;Normal;5,80769936554134e-01;1;TRUE;Constrained HOIs
20;1;0;1;0;-0,05;0,01;0;0;0,0666666666666667;None;Quadratic;FALSE;Normal;5,43189900927246e-01;1;TRUE;Constrained HOIs
20;1;0;1;0;-0,05;0,01;0;0;0,0777777777777778;None;Quadratic;FALSE;Normal;9,49832695536315e-01;1;FALSE;Constrained HOIs
20;1;0;1;0;-0,05;0,01;0;0;0,0888888888888889;None;Quadratic;FALSE;Normal;8,78680949332193e-01;1;FALSE;Constrained HOIs
20;1;0;1;0;-0,05;0,01;0;0;0,1000000000000000;None;Quadratic;FALSE;Normal;5,71711193770170e-02;1;FALSE;Constrained HOIs
20;1;0;1;0;-0,05;0,15;0;0;0,0000000000000000;None;Quadratic;FALSE;Normal;6,93946089595556e-01;1;TRUE;Constrained HOIs
20;1;0;1;0;-0,05;0,15;0;0;0,0111111111111111;None;Quadratic;FALSE;Normal;5,97040654392913e-01;1;TRUE;Constrained HOIs
20;1;0;1;0;-0,05;0,15;0;0;0,0222222222222222;None;Quadratic;FALSE;Normal;9,26295728422701e-01;1;TRUE;Constrained HOIs
20;1;0;1;0;-0,05;0,15;0;0;0,0333333333333333;None;Quadratic;FALSE;Normal;1,88224737066776e-02;1;TRUE;Constrained HOIs
20;1;0;1;0;-0,05;0,15;0;0;0,0444444444444444;None;Quadratic;FALSE;Normal;6,15987402386963e-01;1;TRUE;Constrained HOIs
20;1;0;1;0;-0,05;0,15;0;0;0,0555555555555556;None;Quadratic;FALSE;Normal;5,37055589724332e-01;1;FALSE;Constrained HOIs
20;1;0;1;0;-0,05;0,15;0;0;0,0666666666666667;None;Quadratic;FALSE;Normal;8,79297954961658e-02;1;FALSE;Constrained HOIs
20;1;0;1;0;-0,05;0,15;0;0;0,0777777777777778;None;Quadratic;FALSE;Normal;8,62357121892273e-01;1;FALSE;Constrained HOIs
20;1;0;1;0;-0,05;0,15;0;0;0,0888888888888889;None;Quadratic;FALSE;Normal;7,30704212328419e-01;1;FALSE;Constrained HOIs
20;1;0;1;0;-0,05;0,15;0;0;0,1000000000000000;None;Quadratic;FALSE;Normal;5,83182406844571e-01;1;FALSE;Constrained HOIs
20;1;0;1;0;0,00;0,01;0;0;0,0000000000000000;None;Quadratic;FALSE;Normal;6,13769942661747e-01;1;TRUE;Constrained HOIs
20;1;0;1;0;0,00;0,01;0;0;0,0111111111111111;None;Quadratic;FALSE;Normal;7,93810982024297e-01;1;TRUE;Constrained HOIs
20;1;0;1;0;0,00;0,01;0;0;0,0222222222222222;None;Quadratic;FALSE;Normal;4,73375542322174e-01;1;TRUE;Constrained HOIs
20;1;0;1;0;0,00;0,01;0;0;0,0333333333333333;None;Quadratic;FALSE;Normal;6,43147736089304e-01;1;TRUE;Constrained HOIs
20;1;0;1;0;0,00;0,01;0;0;0,0444444444444444;None;Quadratic;FALSE;Normal;7,94690905604511e-01;1;TRUE;Constrained HOIs
20;1;0;1;0;0,00;0,01;0;0;0,0555555555555556;None;Quadratic;FALSE;Normal;1,18797259405255e-01;1;TRUE;Constrained HOIs
20;1;0;1;0;0,00;0,01;0;0;0,0666666666666667;None;Quadratic;FALSE;Normal;7,71948842098936e-01;1;TRUE;Constrained HOIs
20;1;0;1;0;0,00;0,01;0;0;0,0777777777777778;None;Quadratic;FALSE;Normal;3,48113218322396e-01;1;FALSE;Constrained HOIs
20;1;0;1;0;0,00;0,01;0;0;0,0888888888888889;None;Quadratic;FALSE;Normal;6,95738082518801e-01;1;FALSE;Constrained HOIs
20;1;0;1;0;0,00;0,01;0;0;0,1000000000000000;None;Quadratic;FALSE;Normal;6,65815648622811e-01;1;FALSE;Constrained HOIs
20;1;0;1;0;0,00;0,15;0;0;0,0000000000000000;None;Quadratic;FALSE;Normal;6,17484494112432e-01;1;TRUE;Constrained HOIs
20;1;0;1;0;0,00;0,15;0;0;0,0111111111111111;None;Quadratic;FALSE;Normal;5,49881972605363e-01;1;TRUE;Constrained HOIs
20;1;0;1;0;0,00;0,15;0;0;0,0222222222222222;None;Quadratic;FALSE;Normal;2,78367342660204e-01;1;TRUE;Constrained HOIs
