S;MuR;SigmaR;MuD;SigmaD;MuA;SigmaA;RhoA;MuB;SigmaB;Intra;SelfReg;scaling;DistB;ParsID;Feasible;Eigenvalue;Stable;Type
10;1;0;1;0;0,000;0,150;0;0;0;None;Quadratic;FALSE;Normal;0,53448972129262984;1;-0,55795567128156232;TRUE;Feasible Pairwise
10;1;0;1;0;0,000;0,150;0;0;0;None;Quadratic;FALSE;Normal;0,53448972129262984;1;-0,59433627497015495;TRUE;Constrained HOIs
20;1;0;1;0;0,000;0,150;0;0;0;None;Quadratic;FALSE;Normal;0,09835093887522817;1;-0,48363015522695074;TRUE;Feasible Pairwise
20;1;0;1;0;0,000;0,150;0;0;0;None;Quadratic;FALSE;Normal;0,09835093887522817;1;-0,48017101574697874;TRUE;Constrained HOIs
30;1;0;1;0;0,000;0,150;0;0;0;None;Quadratic;FALSE;Normal;0,63787527265958488;1;-0,33329572590507150;TRUE;Feasible Pairwise
30;1;0;1;0;0,000;0,150;0;0;0;None;Quadratic;FALSE;Normal;0,63787527265958488;1;-0,22527142849603279;TRUE;Constrained HOIs
40;1;0;1;0;0,000;0,150;0;0;0;None;Quadratic;FALSE;Normal;0,55152425821870565;1;-0,34726933694758128;TRUE;Feasible Pairwise
40;1;0;1;0;0,000;0,150;0;0;0;None;Quadratic;FALSE;Normal;0,55152425821870565;1;-0,29224182524854936;TRUE;Constrained HOIs
50;1;0;1;0;0,000;0,150;0;0;0;None;Quadratic;FALSE;Normal;0,56560998782515526;1;-0,05437723023837897;TRUE;Feasible Pairwise
50;1;0;1;0;0,000;0,150;0;0;0;None;Quadratic;FALSE;Normal;0,56560998782515526;1;-0,02151435669726354;TRUE;Constrained HOIs
60;1;0;1;0;0,000;0,150;0;0;0;None;Quadratic;FALSE;Normal;0,52208409016020596;1;0,29143641612848992;FALSE;Feasible Pairwise
60;1;0;1;0;0,000;0,150;0;0;0;None;Quadratic;FALSE;Normal;0,52208409016020596;1;0,29331717574437643;FALSE;Constrained HOIs
70;1;0;1;0;0,000;0,150;0;0;0;None;Quadratic;FALSE;Normal;0,06705940049141645;1;0,09489930936475752;FALSE;Feasible Pairwise
70;1;0;1;0;0,000;0,150;0;0;0;None;Quadratic;FALSE;Normal;0,06705940049141645;1;0,23537857514929503;FALSE;Constrained HOIs
80;1;0;1;0;0,000;0,150;0;0;0;None;Quadratic;FALSE;Normal;0,09554982045665383;1;0,49535685128401619;FALSE;Feasible Pairwise
80;1;0;1;0;0,000;0,150;0;0;0;None;Quadratic;FALSE;Normal;0,09554982045665383;1;0,44520118219445770;FALSE;Constrained HOIs
90;1;0;1;0;0,000;0,150;0;0;0;None;Quadratic;FALSE;Normal;0,60010991012677550;1;0,33152464365127554;FALSE;Feasible Pairwise
90;1;0;1;0;0,000;0,150;0;0;0;None;Quadratic;FALSE;Normal;0,60010991012677550;1;0,36430720381713894;FALSE;Constrained HOIs
100;1;0;1;0;0,000;0,150;0;0;0;None;Quadratic;FALSE;Normal;0,14527850621379912;1;0,46004197430859661;FALSE;Feasible Pairwise
