S;MuR;SigmaR;MuD;SigmaD;MuA;SigmaA;RhoA;MuB;SigmaB;Intra;SelfReg;scaling;DistB;ParsID;Feasible;Stable;Type
20;1;0;1;0;-0,05;0,156524758424985;0;0;0;None;Quadratic;FALSE;Normal;0,592111434554681182;1;TRUE;Constrained HOIs
20;1;0;1;0;-0,05;0,178885438199983;0;0;0;None;Quadratic;FALSE;Normal;0,047952188411727548;1;TRUE;Constrained HOIs
20;1;0;1;0;-0,05;0,201246117974981;0;0;0;None;Quadratic;FALSE;Normal;0,685060840332880616;1;TRUE;Constrained HOIs
20;1;0;1;0;-0,05;0,223606797749979;0;0;0;None;Quadratic;FALSE;Normal;0,647924329387024045;1;TRUE;Constrained HOIs
20;1;0;1;0;-0,05;0,245967477524977;0;0;0;None;Quadratic;FALSE;Normal;0,135276091983541846;1;TRUE;Constrained HOIs
20;1;0;1;0;-0,05;0,268328157299975;0;0;0;None;Quadratic;FALSE;Normal;0,290304401656612754;1;FALSE;Constrained HOIs
20;1;0;1;0;-0,05;0,290688837074973;0;0;0;None;Quadratic;FALSE;Normal;0,741345956921577454;1;FALSE;Constrained HOIs
20;1;0;1;0;-0,05;0,313049516849971;0;0;0;None;Quadratic;FALSE;Normal;0,860095574753358960;1;FALSE;Constrained HOIs
20;1;0;1;0;-0,05;0,335410196624968;0;0;0;None;Quadratic;FALSE;Normal;0,998006311245262623;1;TRUE;Constrained HOIs
20;1;0;1;0;-0,05;0,357770876399966;0;0;0;None;Quadratic;FALSE;Normal;0,115258260397240520;1;FALSE;Constrained HOIs
20;1;0;1;0;0,00;0,156524758424985;0;0;0;None;Quadratic;FALSE;Normal;0,248644030187278986;1;TRUE;Constrained HOIs
20;1;0;1;0;0,00;0,178885438199983;0;0;0;None;Quadratic;FALSE;Normal;0,023411772912368178;1;TRUE;Constrained HOIs
20;1;0;1;0;0,00;0,201246117974981;0;0;0;None;Quadratic;FALSE;Normal;0,563303392147645354;1;TRUE;Constrained HOIs
20;1;0;1;0;0,00;0,223606797749979;0;0;0;None;Quadratic;FALSE;Normal;0,817398114595562220;1;TRUE;Constrained HOIs
20;1;0;1;0;0,00;0,245967477524977;0;0;0;None;Quadratic;FALSE;Normal;0,421456291573122144;1;TRUE;Constrained HOIs
20;1;0;1;0;0,00;0,268328157299975;0;0;0;None;Quadratic;FALSE;Normal;0,525108536705374718;1;TRUE;Constrained HOIs
20;1;0;1;0;0,00;0,290688837074973;0;0;0;None;Quadratic;FALSE;Normal;0,764765023253858089;1;FALSE;Constrained HOIs
20;1;0;1;0;0,00;0,313049516849971;0;0;0;None;Quadratic;FALSE;Normal;0,635396123398095369;1;FALSE;Constrained HOIs
20;1;0;1;0;0,00;0,335410196624968;0;0;0;None;Quadratic;FALSE;Normal;0,539538852171972394;1;FALSE;Constrained HOIs
20;1;0;1;0;0,00;0,357770876399966;0;0;0;None;Quadratic;FALSE;Normal;0,757335935952141881;1;FALSE;Constrained HOIs
