S;MuR;SigmaR;MuD;SigmaD;MuA;SigmaA;RhoA;MuB;SigmaB;Intra;SelfReg;scaling;DistB;ParsID;TargetAbd;Eigenvalue;Stable;Type
5;1;0;1;0;-0,1;0,00000000000000000;0;0;0;None;Quadratic;FALSE;Normal;0,36014589690603316;1,269764351055395;-1,235756284592711;TRUE;Minimized
5;1;0;1;0;-0,1;0,00510204081632653;0;0;0;None;Quadratic;FALSE;Normal;0,48410720261745155;1,290029294509499;-1,221487331513257;TRUE;Minimized
5;1;0;1;0;-0,1;0,01020408163265306;0;0;0;None;Quadratic;FALSE;Normal;0,20059762313030660;1,284486301008434;-1,215374689381215;TRUE;Minimized
5;1;0;1;0;-0,1;0,01530612244897959;0;0;0;None;Quadratic;FALSE;Normal;0,13110022409819067;1,302094054302721;-1,202497479925458;TRUE;Minimized
5;1;0;1;0;-0,1;0,02040816326530612;0;0;0;None;Quadratic;FALSE;Normal;0,72020741016604006;1,297094420121176;-1,221168489888068;TRUE;Minimized
5;1;0;1;0;-0,1;0,02551020408163265;0;0;0;None;Quadratic;FALSE;Normal;0,74117965996265411;1,395186341662541;-1,219808021219455;TRUE;Minimized
5;1;0;1;0;-0,1;0,03061224489795918;0;0;0;None;Quadratic;FALSE;Normal;0,75694365706294775;1,264612046108996;-1,150407570583736;TRUE;Minimized
5;1;0;1;0;-0,1;0,03571428571428571;0;0;0;None;Quadratic;FALSE;Normal;0,33993684896267951;1,358420024821401;-1,197240603268144;TRUE;Minimized
5;1;0;1;0;-0,1;0,04081632653061224;0;0;0;None;Quadratic;FALSE;Normal;0,51025692163966596;1,372015886538012;-1,186748995438648;TRUE;Minimized
5;1;0;1;0;-0,1;0,04591836734693877;0;0;0;None;Quadratic;FALSE;Normal;0,44561127573251724;1,342516125371722;-1,239610900669267;TRUE;Minimized
5;1;0;1;0;-0,1;0,05102040816326530;0;0;0;None;Quadratic;FALSE;Normal;0,85179315460845828;1,295731737670414;-1,133603846128308;TRUE;Minimized
5;1;0;1;0;-0,1;0,05612244897959183;0;0;0;None;Quadratic;FALSE;Normal;0,24945260351523757;1,321550385039949;-1,208364908211161;TRUE;Minimized
5;1;0;1;0;-0,1;0,06122448979591837;0;0;0;None;Quadratic;FALSE;Normal;0,11184883909299970;1,402282796221501;-1,262108840903944;TRUE;Minimized
5;1;0;1;0;-0,1;0,06632653061224489;0;0;0;None;Quadratic;FALSE;Normal;0,59813915053382516;1,311835565545912;-1,189754553653446;TRUE;Minimized
5;1;0;1;0;-0,1;0,07142857142857142;0;0;0;None;Quadratic;FALSE;Normal;0,15439344826154411;1,423096520074504;-1,166800965243139;TRUE;Minimized
5;1;0;1;0;-0,1;0,07653061224489795;0;0;0;None;Quadratic;FALSE;Normal;0,59576156502589583;1,291009159620721;-1,176963683884228;TRUE;Minimized
5;1;0;1;0;-0,1;0,08163265306122448;0;0;0;None;Quadratic;FALSE;Normal;0,48237026622518897;1,253593690958801;-1,118896578210638;TRUE;Minimized
5;1;0;1;0;-0,1;0,08673469387755102;0;0;0;None;Quadratic;FALSE;Normal;0,25676059862598777;1,249723787184188;-1,110669782239421;TRUE;Minimized
5;1;0;1;0;-0,1;0,09183673469387754;0;0;0;None;Quadratic;FALSE;Normal;0,95958172134123743;1,480439621867175;-1,206694762195562;TRUE;Minimized
5;1;0;1;0;-0,1;0,09693877551020408;0;0;0;None;Quadratic;FALSE;Normal;0,60853773728013039;1,493328833342813;-1,060208898320685;TRUE;Minimized
5;1;0;1;0;-0,1;0,10204081632653060;0;0;0;None;Quadratic;FALSE;Normal;0,66564478888176382;1,565787674563398;-1,276579303377284;TRUE;Minimized
5;1;0;1;0;-0,1;0,10714285714285714;0;0;0;None;Quadratic;FALSE;Normal;0,16847230517305434;1,458980337503155;-1,075797393340977;TRUE;Minimized
5;1;0;1;0;-0,1;0,11224489795918366;0;0;0;None;Quadratic;FALSE;Normal;0,38347674813121557;1,425399841588274;-1,013922489822194;TRUE;Minimized
