S;MuR;SigmaR;MuD;SigmaD;MuA;SigmaA;RhoA;MuB;SigmaB;Intra;SelfReg;scaling;DistB;ParsID;Stable;TargetAbd;Type
5;1;0;1;0;-0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,1536081773228943;FALSE;0,010000000000000;Carrying Capacity
5;1;0;1;0;-0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,1536081773228943;TRUE;0,397777777777778;Carrying Capacity
5;1;0;1;0;-0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,1536081773228943;TRUE;0,785555555555556;Carrying Capacity
5;1;0;1;0;-0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,1536081773228943;TRUE;1,173333333333333;Carrying Capacity
5;1;0;1;0;-0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,1536081773228943;TRUE;1,561111111111111;Carrying Capacity
5;1;0;1;0;-0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,1536081773228943;TRUE;1,948888888888889;Carrying Capacity
5;1;0;1;0;-0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,1536081773228943;FALSE;2,336666666666666;Carrying Capacity
5;1;0;1;0;-0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,1536081773228943;FALSE;2,724444444444444;Carrying Capacity
5;1;0;1;0;-0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,1536081773228943;FALSE;3,112222222222222;Carrying Capacity
5;1;0;1;0;-0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,1536081773228943;FALSE;3,500000000000000;Carrying Capacity
5;1;0;1;0;0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,2077906117774546;FALSE;0,010000000000000;Carrying Capacity
5;1;0;1;0;0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,2077906117774546;FALSE;0,397777777777778;Carrying Capacity
5;1;0;1;0;0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,2077906117774546;TRUE;0,785555555555556;Carrying Capacity
5;1;0;1;0;0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,2077906117774546;TRUE;1,173333333333333;Carrying Capacity
5;1;0;1;0;0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,2077906117774546;FALSE;1,561111111111111;Carrying Capacity
5;1;0;1;0;0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,2077906117774546;FALSE;1,948888888888889;Carrying Capacity
5;1;0;1;0;0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,2077906117774546;FALSE;2,336666666666666;Carrying Capacity
5;1;0;1;0;0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,2077906117774546;FALSE;2,724444444444444;Carrying Capacity
5;1;0;1;0;0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,2077906117774546;FALSE;3,112222222222222;Carrying Capacity
5;1;0;1;0;0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,2077906117774546;FALSE;3,500000000000000;Carrying Capacity
5;1;0;1;0;-0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,4149540944490582;FALSE;0,010000000000000;Carrying Capacity
5;1;0;1;0;-0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,4149540944490582;FALSE;0,397777777777778;Carrying Capacity
5;1;0;1;0;-0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,4149540944490582;TRUE;0,785555555555556;Carrying Capacity
5;1;0;1;0;-0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,4149540944490582;TRUE;1,173333333333333;Carrying Capacity
5;1;0;1;0;-0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,4149540944490582;TRUE;1,561111111111111;Carrying Capacity
5;1;0;1;0;-0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,4149540944490582;TRUE;1,948888888888889;Carrying Capacity
5;1;0;1;0;-0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,4149540944490582;TRUE;2,336666666666666;Carrying Capacity
5;1;0;1;0;-0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,4149540944490582;TRUE;2,724444444444444;Carrying Capacity
5;1;0;1;0;-0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,4149540944490582;TRUE;3,112222222222222;Carrying Capacity
5;1;0;1;0;-0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,4149540944490582;TRUE;3,500000000000000;Carrying Capacity
5;1;0;1;0;0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,3456523492932320;FALSE;0,010000000000000;Carrying Capacity
5;1;0;1;0;0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,3456523492932320;TRUE;0,397777777777778;Carrying Capacity
5;1;0;1;0;0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,3456523492932320;TRUE;0,785555555555556;Carrying Capacity
5;1;0;1;0;0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,3456523492932320;TRUE;1,173333333333333;Carrying Capacity
5;1;0;1;0;0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,3456523492932320;FALSE;1,561111111111111;Carrying Capacity
5;1;0;1;0;0,1;0,15;0;0;0;None;Quadratic;FALSE;Normal;0,3456523492932320;FALSE;1,948888888888889;Carrying Capacity
