S;MuR;SigmaR;MuD;SigmaD;MuA;SigmaA;RhoA;MuB;SigmaB;Intra;SelfReg;scaling;DistB;ParsID;Stable;Type
5;1;0;1;0;0;0,0100000000000000;0;0;0;None;Quadratic;FALSE;Normal;0,93236495670862496;TRUE;Modified Pairwise
5;1;0;1;0;0;0,0100000000000000;0;0;0;None;Quadratic;FALSE;Normal;0,93236495670862496;TRUE;Carrying Capacity
5;1;0;1;0;0;0,0477777777777778;0;0;0;None;Quadratic;FALSE;Normal;0,73429325991310179;TRUE;Modified Pairwise
5;1;0;1;0;0;0,0477777777777778;0;0;0;None;Quadratic;FALSE;Normal;0,73429325991310179;TRUE;Carrying Capacity
5;1;0;1;0;0;0,0855555555555555;0;0;0;None;Quadratic;FALSE;Normal;0,16497930884361267;TRUE;Modified Pairwise
5;1;0;1;0;0;0,0855555555555555;0;0;0;None;Quadratic;FALSE;Normal;0,16497930884361267;TRUE;Carrying Capacity
5;1;0;1;0;0;0,1233333333333333;0;0;0;None;Quadratic;FALSE;Normal;0,40450894203968346;TRUE;Modified Pairwise
5;1;0;1;0;0;0,1233333333333333;0;0;0;None;Quadratic;FALSE;Normal;0,40450894203968346;TRUE;Carrying Capacity
5;1;0;1;0;0;0,1611111111111111;0;0;0;None;Quadratic;FALSE;Normal;0,73330025188624859;TRUE;Modified Pairwise
5;1;0;1;0;0;0,1611111111111111;0;0;0;None;Quadratic;FALSE;Normal;0,73330025188624859;TRUE;Carrying Capacity
5;1;0;1;0;0;0,1988888888888889;0;0;0;None;Quadratic;FALSE;Normal;0,99718263885006309;TRUE;Modified Pairwise
5;1;0;1;0;0;0,1988888888888889;0;0;0;None;Quadratic;FALSE;Normal;0,99718263885006309;TRUE;Carrying Capacity
5;1;0;1;0;0;0,2366666666666666;0;0;0;None;Quadratic;FALSE;Normal;0,35099312011152506;TRUE;Modified Pairwise
5;1;0;1;0;0;0,2366666666666666;0;0;0;None;Quadratic;FALSE;Normal;0,35099312011152506;TRUE;Carrying Capacity
5;1;0;1;0;0;0,2744444444444444;0;0;0;None;Quadratic;FALSE;Normal;0,71292101708240807;TRUE;Modified Pairwise
5;1;0;1;0;0;0,2744444444444444;0;0;0;None;Quadratic;FALSE;Normal;0,71292101708240807;TRUE;Carrying Capacity
5;1;0;1;0;0;0,3122222222222222;0;0;0;None;Quadratic;FALSE;Normal;0,90093253413215280;FALSE;Modified Pairwise
5;1;0;1;0;0;0,3122222222222222;0;0;0;None;Quadratic;FALSE;Normal;0,90093253413215280;TRUE;Carrying Capacity
5;1;0;1;0;0;0,3500000000000000;0;0;0;None;Quadratic;FALSE;Normal;0,56492697075009346;TRUE;Modified Pairwise
5;1;0;1;0;0;0,3500000000000000;0;0;0;None;Quadratic;FALSE;Normal;0,56492697075009346;TRUE;Carrying Capacity
5;1;0;1;0;0;0,0100000000000000;0;0;0;None;Quadratic;FALSE;Normal;0,37686116015538573;TRUE;Modified Pairwise
5;1;0;1;0;0;0,0100000000000000;0;0;0;None;Quadratic;FALSE;Normal;0,37686116015538573;TRUE;Carrying Capacity
5;1;0;1;0;0;0,0477777777777778;0;0;0;None;Quadratic;FALSE;Normal;0,85402413364499807;TRUE;Modified Pairwise
5;1;0;1;0;0;0,0477777777777778;0;0;0;None;Quadratic;FALSE;Normal;0,85402413364499807;TRUE;Carrying Capacity
5;1;0;1;0;0;0,0855555555555555;0;0;0;None;Quadratic;FALSE;Normal;0,10962699190713465;TRUE;Modified Pairwise
5;1;0;1;0;0;0,0855555555555555;0;0;0;None;Quadratic;FALSE;Normal;0,10962699190713465;TRUE;Carrying Capacity
5;1;0;1;0;0;0,1233333333333333;0;0;0;None;Quadratic;FALSE;Normal;0,27241743658669293;TRUE;Modified Pairwise
5;1;0;1;0;0;0,1233333333333333;0;0;0;None;Quadratic;FALSE;Normal;0,27241743658669293;TRUE;Carrying Capacity
5;1;0;1;0;0;0,1611111111111111;0;0;0;None;Quadratic;FALSE;Normal;0,28621903108432889;TRUE;Modified Pairwise
5;1;0;1;0;0;0,1611111111111111;0;0;0;None;Quadratic;FALSE;Normal;0,28621903108432889;TRUE;Carrying Capacity
5;1;0;1;0;0;0,1988888888888889;0;0;0;None;Quadratic;FALSE;Normal;0,79251840617507696;TRUE;Modified Pairwise
5;1;0;1;0;0;0,1988888888888889;0;0;0;None;Quadratic;FALSE;Normal;0,79251840617507696;TRUE;Carrying Capacity
5;1;0;1;0;0;0,2366666666666666;0;0;0;None;Quadratic;FALSE;Normal;0,45196039206348360;TRUE;Modified Pairwise
5;1;0;1;0;0;0,2366666666666666;0;0;0;None;Quadratic;FALSE;Normal;0,45196039206348360;TRUE;Carrying Capacity
5;1;0;1;0;0;0,2744444444444444;0;0;0;None;Quadratic;FALSE;Normal;0,47497800248675048;TRUE;Modified Pairwise
5;1;0;1;0;0;0,2744444444444444;0;0;0;None;Quadratic;FALSE;Normal;0,47497800248675048;TRUE;Carrying Capacity
5;1;0;1;0;0;0,3122222222222222;0;0;0;None;Quadratic;FALSE;Normal;0,31865159259177744;TRUE;Modified Pairwise
5;1;0;1;0;0;0,3122222222222222;0;0;0;None;Quadratic;FALSE;Normal;0,31865159259177744;TRUE;Carrying Capacity
5;1;0;1;0;0;0,3500000000000000;0;0;0;None;Quadratic;FALSE;Normal;0,95979834580793977;TRUE;Modified Pairwise
5;1;0;1;0;0;0,3500000000000000;0;0;0;None;Quadratic;FALSE;Normal;0,95979834580793977;TRUE;Carrying Capacity
5;1;0;1;0;0;0,0100000000000000;0;0;0;None;Quadratic;FALSE;Normal;0,56653798534534872;TRUE;Modified Pairwise
5;1;0;1;0;0;0,0100000000000000;0;0;0;None;Quadratic;FALSE;Normal;0,56653798534534872;TRUE;Carrying Capacity
5;1;0;1;0;0;0,0477777777777778;0;0;0;None;Quadratic;FALSE;Normal;0,61636392492800951;TRUE;Modified Pairwise
5;1;0;1;0;0;0,0477777777777778;0;0;0;None;Quadratic;FALSE;Normal;0,61636392492800951;TRUE;Carrying Capacity
5;1;0;1;0;0;0,0855555555555555;0;0;0;None;Quadratic;FALSE;Normal;0,05500936182215810;TRUE;Modified Pairwise
5;1;0;1;0;0;0,0855555555555555;0;0;0;None;Quadratic;FALSE;Normal;0,05500936182215810;TRUE;Carrying Capacity
5;1;0;1;0;0;0,1233333333333333;0;0;0;None;Quadratic;FALSE;Normal;0,90904614957980812;TRUE;Modified Pairwise
5;1;0;1;0;0;0,1233333333333333;0;0;0;None;Quadratic;FALSE;Normal;0,90904614957980812;TRUE;Carrying Capacity
5;1;0;1;0;0;0,1611111111111111;0;0;0;None;Quadratic;FALSE;Normal;0,52288794727064669;TRUE;Modified Pairwise
5;1;0;1;0;0;0,1611111111111111;0;0;0;None;Quadratic;FALSE;Normal;0,52288794727064669;TRUE;Carrying Capacity
5;1;0;1;0;0;0,1988888888888889;0;0;0;None;Quadratic;FALSE;Normal;0,49241055478341877;TRUE;Modified Pairwise
5;1;0;1;0;0;0,1988888888888889;0;0;0;None;Quadratic;FALSE;Normal;0,49241055478341877;TRUE;Carrying Capacity
5;1;0;1;0;0;0,2366666666666666;0;0;0;None;Quadratic;FALSE;Normal;0,00245358701795340;TRUE;Modified Pairwise
5;1;0;1;0;0;0,2366666666666666;0;0;0;None;Quadratic;FALSE;Normal;0,00245358701795340;TRUE;Carrying Capacity
5;1;0;1;0;0;0,2744444444444444;0;0;0;None;Quadratic;FALSE;Normal;0,81516387802548707;TRUE;Modified Pairwise
5;1;0;1;0;0;0,2744444444444444;0;0;0;None;Quadratic;FALSE;Normal;0,81516387802548707;TRUE;Carrying Capacity
5;1;0;1;0;0;0,3122222222222222;0;0;0;None;Quadratic;FALSE;Normal;0,04383739153854549;TRUE;Modified Pairwise
5;1;0;1;0;0;0,3122222222222222;0;0;0;None;Quadratic;FALSE;Normal;0,04383739153854549;TRUE;Carrying Capacity
5;1;0;1;0;0;0,3500000000000000;0;0;0;None;Quadratic;FALSE;Normal;0,42535194591619074;TRUE;Modified Pairwise
5;1;0;1;0;0;0,3500000000000000;0;0;0;None;Quadratic;FALSE;Normal;0,42535194591619074;TRUE;Carrying Capacity
5;1;0;1;0;0;0,0100000000000000;0;0;0;None;Quadratic;FALSE;Normal;0,80731613701209426;TRUE;Modified Pairwise
5;1;0;1;0;0;0,0100000000000000;0;0;0;None;Quadratic;FALSE;Normal;0,80731613701209426;TRUE;Carrying Capacity
5;1;0;1;0;0;0,0477777777777778;0;0;0;None;Quadratic;FALSE;Normal;0,54500996787101030;TRUE;Modified Pairwise
5;1;0;1;0;0;0,0477777777777778;0;0;0;None;Quadratic;FALSE;Normal;0,54500996787101030;TRUE;Carrying Capacity
5;1;0;1;0;0;0,0855555555555555;0;0;0;None;Quadratic;FALSE;Normal;0,81176552921533585;TRUE;Modified Pairwise
5;1;0;1;0;0;0,0855555555555555;0;0;0;None;Quadratic;FALSE;Normal;0,81176552921533585;TRUE;Carrying Capacity
5;1;0;1;0;0;0,1233333333333333;0;0;0;None;Quadratic;FALSE;Normal;0,87017255811952055;TRUE;Modified Pairwise
5;1;0;1;0;0;0,1233333333333333;0;0;0;None;Quadratic;FALSE;Normal;0,87017255811952055;TRUE;Carrying Capacity
5;1;0;1;0;0;0,1611111111111111;0;0;0;None;Quadratic;FALSE;Normal;0,43711803155019879;TRUE;Modified Pairwise
5;1;0;1;0;0;0,1611111111111111;0;0;0;None;Quadratic;FALSE;Normal;0,43711803155019879;TRUE;Carrying Capacity
5;1;0;1;0;0;0,1988888888888889;0;0;0;None;Quadratic;FALSE;Normal;0,80384391942061484;TRUE;Modified Pairwise
5;1;0;1;0;0;0,1988888888888889;0;0;0;None;Quadratic;FALSE;Normal;0,80384391942061484;TRUE;Carrying Capacity
5;1;0;1;0;0;0,2366666666666666;0;0;0;None;Quadratic;FALSE;Normal;0,83560144342482090;TRUE;Modified Pairwise
5;1;0;1;0;0;0,2366666666666666;0;0;0;None;Quadratic;FALSE;Normal;0,83560144342482090;TRUE;Carrying Capacity
5;1;0;1;0;0;0,2744444444444444;0;0;0;None;Quadratic;FALSE;Normal;0,24425772973336279;TRUE;Modified Pairwise
5;1;0;1;0;0;0,2744444444444444;0;0;0;None;Quadratic;FALSE;Normal;0,24425772973336279;TRUE;Carrying Capacity
5;1;0;1;0;0;0,3122222222222222;0;0;0;None;Quadratic;FALSE;Normal;0,02927668695338070;TRUE;Modified Pairwise
5;1;0;1;0;0;0,3122222222222222;0;0;0;None;Quadratic;FALSE;Normal;0,02927668695338070;TRUE;Carrying Capacity
5;1;0;1;0;0;0,3500000000000000;0;0;0;None;Quadratic;FALSE;Normal;0,98179509653709829;TRUE;Modified Pairwise
5;1;0;1;0;0;0,3500000000000000;0;0;0;None;Quadratic;FALSE;Normal;0,98179509653709829;TRUE;Carrying Capacity
5;1;0;1;0;0;0,0100000000000000;0;0;0;None;Quadratic;FALSE;Normal;0,91653700638562441;TRUE;Modified Pairwise
5;1;0;1;0;0;0,0100000000000000;0;0;0;None;Quadratic;FALSE;Normal;0,91653700638562441;TRUE;Carrying Capacity
5;1;0;1;0;0;0,0477777777777778;0;0;0;None;Quadratic;FALSE;Normal;0,93850850034505129;TRUE;Modified Pairwise
5;1;0;1;0;0;0,0477777777777778;0;0;0;None;Quadratic;FALSE;Normal;0,93850850034505129;TRUE;Carrying Capacity
5;1;0;1;0;0;0,0855555555555555;0;0;0;None;Quadratic;FALSE;Normal;0,45429339539259672;TRUE;Modified Pairwise
5;1;0;1;0;0;0,0855555555555555;0;0;0;None;Quadratic;FALSE;Normal;0,45429339539259672;TRUE;Carrying Capacity
5;1;0;1;0;0;0,1233333333333333;0;0;0;None;Quadratic;FALSE;Normal;0,95428777323104441;TRUE;Modified Pairwise
5;1;0;1;0;0;0,1233333333333333;0;0;0;None;Quadratic;FALSE;Normal;0,95428777323104441;TRUE;Carrying Capacity
5;1;0;1;0;0;0,1611111111111111;0;0;0;None;Quadratic;FALSE;Normal;0,05815261648967862;TRUE;Modified Pairwise
5;1;0;1;0;0;0,1611111111111111;0;0;0;None;Quadratic;FALSE;Normal;0,05815261648967862;TRUE;Carrying Capacity
5;1;0;1;0;0;0,1988888888888889;0;0;0;None;Quadratic;FALSE;Normal;0,97984070191159844;TRUE;Modified Pairwise
5;1;0;1;0;0;0,1988888888888889;0;0;0;None;Quadratic;FALSE;Normal;0,97984070191159844;TRUE;Carrying Capacity
5;1;0;1;0;0;0,2366666666666666;0;0;0;None;Quadratic;FALSE;Normal;0,03171080746687949;TRUE;Modified Pairwise
5;1;0;1;0;0;0,2366666666666666;0;0;0;None;Quadratic;FALSE;Normal;0,03171080746687949;TRUE;Carrying Capacity
5;1;0;1;0;0;0,2744444444444444;0;0;0;None;Quadratic;FALSE;Normal;0,18254589126445353;FALSE;Modified Pairwise
5;1;0;1;0;0;0,2744444444444444;0;0;0;None;Quadratic;FALSE;Normal;0,18254589126445353;TRUE;Carrying Capacity
5;1;0;1;0;0;0,3122222222222222;0;0;0;None;Quadratic;FALSE;Normal;0,91679745423607528;TRUE;Modified Pairwise
5;1;0;1;0;0;0,3122222222222222;0;0;0;None;Quadratic;FALSE;Normal;0,91679745423607528;TRUE;Carrying Capacity
5;1;0;1;0;0;0,3500000000000000;0;0;0;None;Quadratic;FALSE;Normal;0,35465276683680713;TRUE;Modified Pairwise
5;1;0;1;0;0;0,3500000000000000;0;0;0;None;Quadratic;FALSE;Normal;0,35465276683680713;TRUE;Carrying Capacity
