S;MuR;SigmaR;MuD;SigmaD;MuA;SigmaA;RhoA;b;Coexist;TargetAbd;Eigenvalue;Stable;Type
3;1;0;1;0;0,00;0,000000000000000;0;0;1;1,00000000000000e+00;-1,00000000000000e+00;TRUE;Minimized
3;1;0;1;0;0,00;0,555555555555556;0;0;1;1,64236682288765e+00;-1,64236682192395e+00;TRUE;Minimized
3;1;0;1;0;0,00;1,111111111111111;0;0;0;9,85137421203709e+36;-4,15430913649943e+36;TRUE;Minimized
3;1;0;1;0;0,00;1,666666666666667;0;0;1;1,69599403812703e+00;-1,69599401086055e+00;TRUE;Minimized
3;1;0;1;0;0,00;2,222222222222222;0;0;1;2,12696727648693e+40;-7,64150787123222e+39;TRUE;Minimized
3;1;0;1;0;0,00;2,777777777777778;0;0;0;2,38944220549589e+00;-2,38931899164109e+00;TRUE;Minimized
3;1;0;1;0;0,00;3,333333333333333;0;0;0;1,62327078719749e+37;-8,83450984693928e+36;TRUE;Minimized
3;1;0;1;0;0,00;3,888888888888889;0;0;0;1,39289175946512e+00;-1,39289071937420e+00;TRUE;Minimized
3;1;0;1;0;0,00;4,444444444444445;0;0;1;1,67168771488934e+00;-1,67168763750751e+00;TRUE;Minimized
3;1;0;1;0;0,00;5,000000000000000;0;0;0;3,82494641694117e+37;-3,06490437562345e+37;TRUE;Minimized
3;1;0;1;0;0,25;0,000000000000000;0;0;0;9,44093725113966e+36;-8,20518830968676e+36;TRUE;Minimized
3;1;0;1;0;0,25;0,555555555555556;0;0;1;4,52219861604395e+00;-9,27021603379008e-01;TRUE;Minimized
3;1;0;1;0;0,25;1,111111111111111;0;0;1;7,37775630529029e+08;-4,09735537324543e+08;TRUE;Minimized
3;1;0;1;0;0,25;1,666666666666667;0;0;1;1,56936489048262e+40;-1,31990369099739e+40;TRUE;Minimized
3;1;0;1;0;0,25;2,222222222222222;0;0;1;9,43973778999233e+37;-5,76818259168953e+37;TRUE;Minimized
3;1;0;1;0;0,25;2,777777777777778;0;0;1;1,38707711823095e+43;-1,05289934146091e+43;TRUE;Minimized
3;1;0;1;0;0,25;3,333333333333333;0;0;0;4,15432832862355e+00;-4,15432832729892e+00;TRUE;Minimized
3;1;0;1;0;0,25;3,888888888888889;0;0;1;1,95687112308371e+00;-1,95687112306588e+00;TRUE;Minimized
3;1;0;1;0;0,25;4,444444444444445;0;0;0;-8,64565313173373e-02;8,64620197129202e-02;FALSE;Minimized
3;1;0;1;0;0,25;5,000000000000000;0;0;1;1,04691288148637e+41;-8,60638602897267e+40;TRUE;Minimized
3;1;0;1;0;0,50;0,000000000000000;0;0;0;4,60442608118286e+39;-4,52312359981779e+39;TRUE;Minimized
3;1;0;1;0;0,50;0,555555555555556;0;0;0;1,02724193586685e+00;-1,02724192519283e+00;TRUE;Minimized
3;1;0;1;0;0,50;1,111111111111111;0;0;0;6,30528578422526e+39;-6,01293549641282e+39;TRUE;Minimized
3;1;0;1;0;0,50;1,666666666666667;0;0;1;1,21818971708512e+00;-1,21818971660362e+00;TRUE;Minimized
3;1;0;1;0;0,50;2,222222222222222;0;0;0;2,83609905723549e-01;-8,16726128503314e-02;TRUE;Minimized
3;1;0;1;0;0,50;2,777777777777778;0;0;0;5,99758675380921e+41;-5,57083246724134e+41;TRUE;Minimized
3;1;0;1;0;0,50;3,333333333333333;0;0;0;7,27177293560345e-01;-7,27108521718915e-01;TRUE;Minimized
3;1;0;1;0;0,50;3,888888888888889;0;0;0;1,17235366745851e+38;-8,75862356963281e+37;TRUE;Minimized
3;1;0;1;0;0,50;4,444444444444445;0;0;1;2,03541210804722e+42;-2,02351902723623e+42;TRUE;Minimized
3;1;0;1;0;0,50;5,000000000000000;0;0;1;1,21901175497366e+40;-5,12055943581129e+39;TRUE;Minimized
3;1;0;1;0;0,00;0,000000000000000;0;0;1;1,00000000000000e+00;-1,00000000000000e+00;TRUE;Minimized
3;1;0;1;0;0,00;0,555555555555556;0;0;1;2,20901444448382e+40;-4,70120866735550e+39;TRUE;Minimized
3;1;0;1;0;0,00;1,111111111111111;0;0;1;2,05166823026838e+00;-2,05166822849051e+00;TRUE;Minimized
3;1;0;1;0;0,00;1,666666666666667;0;0;0;2,89340978386365e+37;-2,01548405298360e+37;TRUE;Minimized
3;1;0;1;0;0,00;2,222222222222222;0;0;0;1,00970988378774e+00;-1,00970950835608e+00;TRUE;Minimized
3;1;0;1;0;0,00;2,777777777777778;0;0;0;3,44773202502236e+35;-3,17777238311175e+35;TRUE;Minimized
3;1;0;1;0;0,00;3,333333333333333;0;0;1;1,01479500049120e+00;-1,01479497835972e+00;TRUE;Minimized
3;1;0;1;0;0,00;3,888888888888889;0;0;0;1,23454133454831e+41;-1,15096164550591e+41;TRUE;Minimized
3;1;0;1;0;0,00;4,444444444444445;0;0;0;6,10707493340635e+30;-5,03199880225359e+30;TRUE;Minimized
3;1;0;1;0;0,00;5,000000000000000;0;0;0;6,83080710681650e-01;2,65262646196107e-01;FALSE;Minimized
3;1;0;1;0;0,25;0,000000000000000;0;0;0;9,44093725113966e+36;-8,20518830968676e+36;TRUE;Minimized
3;1;0;1;0;0,25;0,555555555555556;0;0;1;1,00215859003640e+00;-1,00215858998382e+00;TRUE;Minimized
3;1;0;1;0;0,25;1,111111111111111;0;0;0;8,33912477698320e-01;-8,33911093364599e-01;TRUE;Minimized
3;1;0;1;0;0,25;1,666666666666667;0;0;1;7,81954896971288e-01;-3,43452837568305e-01;TRUE;Minimized
3;1;0;1;0;0,25;2,222222222222222;0;0;0;9,49619628272033e+42;-8,85325577822249e+42;TRUE;Minimized
3;1;0;1;0;0,25;2,777777777777778;0;0;1;6,43467661738730e+33;-6,34824006576645e+33;TRUE;Minimized
3;1;0;1;0;0,25;3,333333333333333;0;0;1;1,71825369859871e+42;-6,70197441234068e+41;TRUE;Minimized
