S;MuR;SigmaR;MuD;SigmaD;MuA;SigmaA;RhoA;b;TargetAbd;Feasible;Eigenvalue;Stable;Type
3;1;0;1;0;-0,25;0,25;0;0;0,500000000000000;1;0,158375722236046956;FALSE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,501501501501502;1;0,155845889948895089;FALSE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,503003003003003;1;0,153316035499814596;FALSE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,504504504504504;1;0,150786158785093577;FALSE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,506006006006006;1;0,148256259700371457;FALSE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,507507507507508;1;0,145726338140634737;FALSE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,509009009009009;1;0,143196394000212057;FALSE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,510510510510511;1;0,140666427172768366;FALSE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,512012012012012;1;0,138136437551301450;FALSE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,513513513513513;1;0,135606425028131361;FALSE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,515015015015015;1;0,133076389494902914;FALSE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,516516516516517;1;0,130546330842574831;FALSE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,518018018018018;1;0,128016248961415807;FALSE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,519519519519519;1;0,125486143740999506;FALSE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,521021021021021;1;0,122956015070197863;FALSE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,522522522522523;1;0,120425862837176753;FALSE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,524024024024024;1;0,117895686929389967;FALSE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,525525525525526;1;0,115365487233573816;FALSE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,527027027027027;1;0,112835263635741076;FALSE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,528528528528528;1;0,110305016021173860;FALSE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,530030030030030;1;0,107774744274419881;FALSE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,531531531531532;1;0,105244448279287084;FALSE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,533033033033033;1;0,102714127918834705;FALSE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,534534534534534;1;0,100183783075369362;FALSE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,536036036036036;1;0,097653413630438557;FALSE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,537537537537538;1;0,095123019464824557;FALSE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,539039039039039;1;0,092592600458538760;FALSE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,540540540540541;1;0,090062156490813533;FALSE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,542042042042042;1;0,087531687440100286;FALSE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,543543543543544;1;0,085001193184055412;FALSE;Constrained HOIs
3;1;0;1;0;-0,25;0,25;0;0;0,545045045045045;1;0,082470673599541910;FALSE;Constrained HOIs
