S;MuR;SigmaR;MuD;SigmaD;MuA;SigmaA;RhoA;MuB;SigmaB;Intra;SelfReg;scaling;DistB;ParsID;Stable;SAD;SD;Real;Imaginary;MeanB
40;1;0;1;0;0;0;0;0;0;None;Quadratic;FALSE;Normal;0,7439499066676944;TRUE;Carrying Capacities;0,010000000000000;-1,02259231322694e+00;0,00000000000000e+00;-8,19844869441094e-09
40;1;0;1;0;0;0;0;0;0;None;Quadratic;FALSE;Normal;0,7439499066676944;TRUE;Carrying Capacities;0,010000000000000;-1,01885312032374e+00;0,00000000000000e+00;-8,19844869441094e-09
40;1;0;1;0;0;0;0;0;0;None;Quadratic;FALSE;Normal;0,7439499066676944;TRUE;Carrying Capacities;0,010000000000000;-1,01836988022262e+00;0,00000000000000e+00;-8,19844869441094e-09
40;1;0;1;0;0;0;0;0;0;None;Quadratic;FALSE;Normal;0,7439499066676944;TRUE;Carrying Capacities;0,010000000000000;-1,01698054434798e+00;0,00000000000000e+00;-8,19844869441094e-09
40;1;0;1;0;0;0;0;0;0;None;Quadratic;FALSE;Normal;0,7439499066676944;TRUE;Carrying Capacities;0,010000000000000;-1,01450801424348e+00;0,00000000000000e+00;-8,19844869441094e-09
40;1;0;1;0;0;0;0;0;0;None;Quadratic;FALSE;Normal;0,7439499066676944;TRUE;Carrying Capacities;0,010000000000000;-1,01401425800552e+00;0,00000000000000e+00;-8,19844869441094e-09
40;1;0;1;0;0;0;0;0;0;None;Quadratic;FALSE;Normal;0,7439499066676944;TRUE;Carrying Capacities;0,010000000000000;-1,01288774944930e+00;0,00000000000000e+00;-8,19844869441094e-09
40;1;0;1;0;0;0;0;0;0;None;Quadratic;FALSE;Normal;0,7439499066676944;TRUE;Carrying Capacities;0,010000000000000;-1,01177002168308e+00;0,00000000000000e+00;-8,19844869441094e-09
40;1;0;1;0;0;0;0;0;0;None;Quadratic;FALSE;Normal;0,7439499066676944;TRUE;Carrying Capacities;0,010000000000000;-1,01109863965682e+00;0,00000000000000e+00;-8,19844869441094e-09
40;1;0;1;0;0;0;0;0;0;None;Quadratic;FALSE;Normal;0,7439499066676944;TRUE;Carrying Capacities;0,010000000000000;-1,00973507015669e+00;0,00000000000000e+00;-8,19844869441094e-09
40;1;0;1;0;0;0;0;0;0;None;Quadratic;FALSE;Normal;0,7439499066676944;TRUE;Carrying Capacities;0,010000000000000;-1,00870057121531e+00;0,00000000000000e+00;-8,19844869441094e-09
40;1;0;1;0;0;0;0;0;0;None;Quadratic;FALSE;Normal;0,7439499066676944;TRUE;Carrying Capacities;0,010000000000000;-1,00777069066425e+00;0,00000000000000e+00;-8,19844869441094e-09
40;1;0;1;0;0;0;0;0;0;None;Quadratic;FALSE;Normal;0,7439499066676944;TRUE;Carrying Capacities;0,010000000000000;-1,00528663853597e+00;0,00000000000000e+00;-8,19844869441094e-09
40;1;0;1;0;0;0;0;0;0;None;Quadratic;FALSE;Normal;0,7439499066676944;TRUE;Carrying Capacities;0,010000000000000;-1,00319280475490e+00;0,00000000000000e+00;-8,19844869441094e-09
40;1;0;1;0;0;0;0;0;0;None;Quadratic;FALSE;Normal;0,7439499066676944;TRUE;Carrying Capacities;0,010000000000000;-1,00146764623094e+00;0,00000000000000e+00;-8,19844869441094e-09
40;1;0;1;0;0;0;0;0;0;None;Quadratic;FALSE;Normal;0,7439499066676944;TRUE;Carrying Capacities;0,010000000000000;-1,00100534942902e+00;0,00000000000000e+00;-8,19844869441094e-09
40;1;0;1;0;0;0;0;0;0;None;Quadratic;FALSE;Normal;0,7439499066676944;TRUE;Carrying Capacities;0,010000000000000;-1,00090542696416e+00;7,63540156443118e-03;-8,19844869441094e-09
40;1;0;1;0;0;0;0;0;0;None;Quadratic;FALSE;Normal;0,7439499066676944;TRUE;Carrying Capacities;0,010000000000000;-1,00090542696416e+00;-7,63540156443118e-03;-8,19844869441094e-09
40;1;0;1;0;0;0;0;0;0;None;Quadratic;FALSE;Normal;0,7439499066676944;TRUE;Carrying Capacities;0,010000000000000;-1,00071139432618e+00;0,00000000000000e+00;-8,19844869441094e-09
40;1;0;1;0;0;0;0;0;0;None;Quadratic;FALSE;Normal;0,7439499066676944;TRUE;Carrying Capacities;0,010000000000000;-9,99643216108049e-01;0,00000000000000e+00;-8,19844869441094e-09
40;1;0;1;0;0;0;0;0;0;None;Quadratic;FALSE;Normal;0,7439499066676944;TRUE;Carrying Capacities;0,010000000000000;-9,99556288126236e-01;0,00000000000000e+00;-8,19844869441094e-09
40;1;0;1;0;0;0;0;0;0;None;Quadratic;FALSE;Normal;0,7439499066676944;TRUE;Carrying Capacities;0,010000000000000;-9,98603794486835e-01;0,00000000000000e+00;-8,19844869441094e-09
40;1;0;1;0;0;0;0;0;0;None;Quadratic;FALSE;Normal;0,7439499066676944;TRUE;Carrying Capacities;0,010000000000000;-9,98160024043350e-01;0,00000000000000e+00;-8,19844869441094e-09
40;1;0;1;0;0;0;0;0;0;None;Quadratic;FALSE;Normal;0,7439499066676944;TRUE;Carrying Capacities;0,010000000000000;-9,97781190578990e-01;0,00000000000000e+00;-8,19844869441094e-09
40;1;0;1;0;0;0;0;0;0;None;Quadratic;FALSE;Normal;0,7439499066676944;TRUE;Carrying Capacities;0,010000000000000;-9,96736179445233e-01;0,00000000000000e+00;-8,19844869441094e-09
